"","STT","Sample_ID","CNV_Label","Sentrix_ID","Sentrix_Position","AT_Array","GC_Array"
"1",9202,"STS458","11_SB_9202_LMS_P",205243940036,"R02C01","a520780-00-982413-053118-4306645-05489","a520780-00-982397-053118-4306645-00915"
"2",9203,"STS503","11_SB_9203_LMS_P",205289430139,"R07C01","a520780-00-949480-073116-4238195-91978","a520780-00-949480-073116-4238195-91981"
"3",9327,"STS431","10_CAD_9327_LMS_Met",205128000076,"R07C01","a520780-00-982390-053118-4306645-89613","a520780-00-982400-053118-4306645-94800"
"4",9328,"STS468","3_PL_9328_LMS_P",205243940046,"R04C01","a520780-00-982413-053118-4306645-05494","a520780-00-982389-053118-4306645-89486"
"5",9337,"STS409","8_KAN_9337_LMS_Rec",205240110063,"R01C01","a520780-00-982414-053118-4306645-05962","a520780-00-982416-053118-4306645-06178"
"6",9338,"STS658","8_KAN_9338_LMS_Met",205125590021,"R02C01","a520780-00-982411-053118-4306645-05218","a520780-00-982414-053118-4306645-05964"
"7",9350,"STS569","11_SB_9350_LMS_Met2",205122170071,"R01C01","a520780-00-982411-053118-4306645-05204","a520780-00-982413-053118-4306645-05528"
"8",9353,"STS665","10_CAD_9353_LMS_Rec1",205125590068,"R01C01","a520780-00-982416-053118-4306645-06115","a520780-00-982415-053118-4306645-06025"
"9",9354,"STS487","10_CAD_9354_LMS_Rec2",205243940065,"R07C01","a520780-00-982397-053118-4306645-00852","a520780-00-982413-053118-4306645-05473"
"10",9355,"STS564","10_CAD_9355_LMS_Rec3",205122170045,"R04C01","a520780-00-982389-053118-4306645-89561","a520780-00-982394-053118-4306645-00512"
"11",9356,"STS605","10_CAD_9356_LMS_Rec4",205243940107,"R05C01","a520780-00-982400-053118-4306645-94845","a520780-00-982397-053118-4306645-00892"
"12",9357,"STS676","10_CAD_9357_LMS_Rec5",205243940058,"R04C01","a520780-00-982401-053118-4306645-94901","a520780-00-982412-053118-4306645-05348"
"13",9358,"STS543","10_CAD_9358_LMS_Rec6",205125590067,"R07C01","a520780-00-982397-053118-4306645-00890","a520780-00-982412-053118-4306645-05340"
