"","Sample_Name","Sample_Group","Sample_Plate","Pool_ID","Sentrix_Position","Sentrix_ID","Basename","Platform","Batch"
"1","205240110063_R01C01","tumor","Plt6",NA,"R01C01",205240110063,"205240110063_R01C01","EPIC",1
"2","205243940036_R02C01","tumor","Plt7",NA,"R02C01",205243940036,"205243940036_R02C01","EPIC",1
"3","205243940046_R04C01","tumor","Plt7",NA,"R04C01",205243940046,"205243940046_R04C01","EPIC",1
"4","205289430139_R07C01","tumor","Plt7",NA,"R07C01",205289430139,"205289430139_R07C01","EPIC",1
"5","205128000076_R07C01","tumor","Plt7",NA,"R07C01",205128000076,"205128000076_R07C01","EPIC",1
"6","205243940065_R07C01","tumor","Plt7",NA,"R07C01",205243940065,"205243940065_R07C01","EPIC",1
"7","205122170071_R01C01","tumor","Plt8",NA,"R01C01",205122170071,"205122170071_R01C01","EPIC",1
"8","205122170045_R04C01","tumor","Plt8",NA,"R04C01",205122170045,"205122170045_R04C01","EPIC",1
"9","205243940107_R05C01","tumor","Plt8",NA,"R05C01",205243940107,"205243940107_R05C01","EPIC",1
"10","205125590067_R07C01","tumor","Plt8",NA,"R07C01",205125590067,"205125590067_R07C01","EPIC",1
"11","205125590068_R01C01","tumor","Plt9",NA,"R01C01",205125590068,"205125590068_R01C01","EPIC",1
"12","205125590021_R02C01","tumor","Plt9",NA,"R02C01",205125590021,"205125590021_R02C01","EPIC",1
"13","205243940058_R04C01","tumor","Plt9",NA,"R04C01",205243940058,"205243940058_R04C01","EPIC",1
"14","205125590013_R05C01","normal","Plate 6",NA,"R05C01",205125590013,"205125590013_R05C01","EPIC",1
"15","205128000013_R03C01","normal","Plate 6",NA,"R03C01",205128000013,"205128000013_R03C01","EPIC",1
"16","205128000076_R04C01","normal","Plate7",NA,"R04C01",205128000076,"205128000076_R04C01","EPIC",1
"17","205240110044_R02C01","normal","Plate7",NA,"R02C01",205240110044,"205240110044_R02C01","EPIC",1
"18","205240110063_R03C01","normal","Plate7",NA,"R03C01",205240110063,"205240110063_R03C01","EPIC",1
